city,recording,present,file,rows,columns,column_names,missing_cells,unnamed_columns,unnamed_all_empty,duplicate_raw_frame_ids,nonpositive_timestamp_steps,timestamp_column
Tianjin,8_9_3,True,TrafficLight_8_09_3.csv,90.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,0.0,timestamp(ms)
Tianjin,8_9_4,True,TrafficLight_8_09_4.csv,92.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,1.0,timestamp(ms)
Changchun,changchun_pudong_507_009,True,Traffic_Lights.csv,76.0,4.0,RawFrameID | timestamp(ms) | Vehicle Traffic light 1 | Vehicle Traffic light 2,0.0,,True,0.0,0.0,timestamp(ms)
Changchun,changchun_pudong_507_010,True,Traffic_Lights.csv,84.0,4.0,RawFrameID | timestamp(ms) | Vehicle Traffic light 1 | Vehicle Traffic light 2,0.0,,True,0.0,7.0,timestamp(ms)
Changchun,changchun_pudong_507_011,True,Traffic_Lights.csv,81.0,4.0,RawFrameID | timestamp(ms) | Vehicle Traffic light 1 | Vehicle Traffic light 2,0.0,,True,0.0,2.0,timestamp(ms)
Changchun,changchun_pudong_523_005,True,Traffic_Lights.csv,84.0,4.0,RawFrameID | timestamp(ms) | Vehicle Traffic light 1 | Vehicle Traffic light 2,0.0,,True,0.0,8.0,timestamp(ms)
Changchun,changchun_pudong_523_006,True,Traffic_Lights.csv,74.0,4.0,RawFrameID | timestamp(ms) | Vehicle Traffic light 1 | Vehicle Traffic light 2,0.0,,True,0.0,0.0,timestamp(ms)
Changchun,changchun_pudong_523_007,True,Traffic_Lights.csv,80.0,4.0,RawFrameID | timestamp(ms) | Vehicle Traffic light 1 | Vehicle Traffic light 2,0.0,,True,0.0,12.0,timestamp(ms)
Changchun,changchun_pudong_523_008,True,Traffic_Lights.csv,76.0,4.0,RawFrameID | timestamp(ms) | Vehicle Traffic light 1 | Vehicle Traffic light 2,0.0,,True,0.0,4.0,timestamp(ms)
Changchun,changchun_pudong_xx,True,Traffic_Lights.csv,50.0,4.0,RawFrameID | timestamp(ms) | Vehicle Traffic light 1 | Vehicle Traffic light 2,0.0,,True,0.0,8.0,timestamp(ms)
Xi'an,xian_412_m1,True,Traffic_Lights.csv,43.0,4.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2,1.0,,True,2.0,7.0,timestamp(ms)
Xi'an,xian_412_m2,True,Traffic_Lights.csv,25.0,4.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2,0.0,,True,0.0,1.0,timestamp(ms)
Xi'an,xian_412_m3,True,Traffic_Lights.csv,25.0,4.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2,0.0,,True,0.0,0.0,timestamp(ms)
Xi'an,xian_412_m4,True,Traffic_Lights.csv,32.0,4.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2,0.0,,True,0.0,0.0,timestamp(ms)
Xi'an,xian_412_n1,True,Traffic_Lights.csv,28.0,4.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2,0.0,,True,0.0,0.0,timestamp(ms)
Xi'an,xian_412_n2,True,Traffic_Lights.csv,19.0,4.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2,0.0,,True,0.0,0.0,timestamp(ms)
Xi'an,xian_412_n3,True,Traffic_Lights.csv,32.0,4.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2,0.0,,True,0.0,0.0,timestamp(ms)
Xi'an,xian_412_n4,True,Traffic_Lights.csv,30.0,4.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2,0.0,,True,0.0,0.0,timestamp(ms)
Xi'an,xian_415_m1,True,Traffic_Lights.csv,24.0,4.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2,2.0,,True,0.0,0.0,timestamp(ms)
Xi'an,xian_415_m2,True,Traffic_Lights.csv,33.0,4.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2,0.0,,True,0.0,1.0,timestamp(ms)
Xi'an,xian_415_m3,True,Traffic_Lights.csv,32.0,4.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2,0.0,,True,0.0,1.0,timestamp(ms)
Xi'an,xian_415_m4,True,Traffic_Lights.csv,30.0,4.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2,0.0,,True,0.0,0.0,timestamp(ms)
Xi'an,xian_415_n1,True,Traffic_Lights.csv,26.0,4.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2,0.0,,True,0.0,0.0,timestamp(ms)
Xi'an,xian_415_n2,True,Traffic_Lights.csv,28.0,5.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Unnamed: 4,0.0,Unnamed: 4,False,0.0,0.0,timestamp(ms)
Xi'an,xian_415_n4,True,Traffic_Lights.csv,18.0,5.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Unnamed: 4,0.0,Unnamed: 4,False,0.0,0.0,timestamp(ms)
